지역ID,맵,상위지역,지역명,기준,기준지역ID,몬스터1,원본좌표1,Y+10 좌표1,Y-10 좌표1,몬스터2,원본좌표2,Y+10 좌표2,Y-10 좌표2,몬스터3,원본좌표3,Y+10 좌표3,Y-10 좌표3
13,동부 왕국,그늘숲,세계수,상위지역 경계 대체,10,돌가죽멧돼지 (524),"-9926.910, -371.035, 27.431","-9926.910, -361.035, 27.431","-9926.910, -381.035, 27.431",파멸의어둠일족 암흑길잡이 (205),"-10530.900, -786.683, 57.438","-10530.900, -776.683, 57.438","-10530.900, -796.683, 57.438",새끼 검은과부거미 (930),"-10751.200, -172.226, 40.478","-10751.200, -162.226, 40.478","-10751.200, -182.226, 40.478"
14,칼림도어,,듀로타,지역 경계 직접,14,긴송곳니 열대초원랩터 (3255),"-138.366, -3690.130, 27.531","-138.366, -3680.130, 27.531","-138.366, -3700.130, 27.531",덩치 큰 점박이멧돼지 (3100),"63.938, -4054.780, 53.847","63.938, -4044.780, 53.847","63.938, -4064.780, 53.847",검은부리초원타조 (3246),"-318.000, -3817.240, 29.120","-318.000, -3807.240, 29.120","-318.000, -3827.240, 29.120"
15,칼림도어,,먼지진흙 습지대,지역 경계 직접,15,비수송곳니 늪지악어 (4345),"-3753.070, -3518.840, 28.647","-3753.070, -3508.840, 28.647","-3753.070, -3528.840, 28.647",얼룩무늬 늪지악어 (4344),"-3764.010, -3379.690, 32.323","-3764.010, -3369.690, 32.323","-3764.010, -3389.690, 32.323",검은송곳니 땅거미 (4412),"-3625.550, -3438.380, 37.343","-3625.550, -3428.380, 37.343","-3625.550, -3448.380, 37.343"
16,칼림도어,,아즈샤라,지역 경계 직접,16,덩치 큰 이끼발굽순록 (8761),"4144.930, -5919.240, 100.680","4144.930, -5909.240, 100.680","4144.930, -5929.240, 100.680",원한의꼬리일족 세이렌 (6195),"3671.970, -5745.800, 6.533","3671.970, -5735.800, 6.533","3671.970, -5755.800, 6.533",갈퀴발톱 천둥뿔 히포그리프 (6378),"4056.840, -5901.820, 102.057","4056.840, -5891.820, 102.057","4056.840, -5911.820, 102.057"
17,칼림도어,,불모의 땅,지역 경계 직접,17,긴송곳니 열대초원랩터 (3255),"-1525.840, -2634.480, 93.120","-1525.840, -2624.480, 93.120","-1525.840, -2644.480, 93.120",굶주린 얼룩말 (3242),"-1047.420, -2714.390, 92.212","-1047.420, -2704.390, 92.212","-1047.420, -2724.390, 92.212",검은부리초원타조 (3246),"-1014.420, -2361.710, 94.964","-1014.420, -2351.710, 94.964","-1014.420, -2371.710, 94.964"
18,동부 왕국,엘윈 숲,수정 호수,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
19,동부 왕국,가시덤불 골짜기,줄구룹,상위지역 경계 대체,33,술취한 투사 (15724),"-14258.600, 327.030, 26.364","-14258.600, 337.030, 26.364","-14258.600, 317.030, 26.364",무법항 투사 (4624),"-14258.600, 327.030, 26.427","-14258.600, 337.030, 26.427","-14258.600, 317.030, 26.427",가시덤불 암호랑이 (772),"-12907.700, -407.618, 12.128","-12907.700, -397.618, 12.128","-12907.700, -417.618, 12.128"
20,동부 왕국,서부 몰락지대,문브룩,상위지역 경계 대체,40,병든 늑대 (525),"-9707.640, 782.041, 31.745","-9707.640, 792.041, 31.745","-9707.640, 772.041, 31.745",뿔엄니멧돼지 (157),"-10627.600, 1326.260, 38.080","-10627.600, 1336.260, 38.080","-10627.600, 1316.260, 38.080",돌엄니멧돼지 (113),"-9929.220, 443.641, 34.594","-9929.220, 453.641, 34.594","-9929.220, 433.641, 34.594"
21,동부 왕국,,쿨 티라스,없음,,없음,,,,없음,,,,없음,,,
23,동부 왕국,엘윈 숲,노스샤이어 강,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
24,동부 왕국,엘윈 숲,노스샤이어 수도원,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
25,동부 왕국,,검은바위 산,없음,,없음,,,,없음,,,,없음,,,
26,동부 왕국,서부 몰락지대,등대,상위지역 경계 대체,40,병든 늑대 (525),"-9707.640, 782.041, 31.745","-9707.640, 792.041, 31.745","-9707.640, 772.041, 31.745",뿔엄니멧돼지 (157),"-10627.600, 1326.260, 38.080","-10627.600, 1336.260, 38.080","-10627.600, 1316.260, 38.080",돌엄니멧돼지 (113),"-9929.220, 443.641, 34.594","-9929.220, 453.641, 34.594","-9929.220, 433.641, 34.594"
28,동부 왕국,,서부 역병지대,지역 경계 직접,28,그늘흡혈박쥐 (1554),"2487.740, -1050.970, 93.581","2487.740, -1040.970, 93.581","2487.740, -1060.970, 93.581",저주받은 암흑사냥개 (1548),"1888.410, -643.062, 48.334","1888.410, -633.062, 48.334","1888.410, -653.062, 48.334",투명 추적자 (31576),"1808.840, 204.643, 60.500","1808.840, 214.643, 60.500","1808.840, 194.643, 60.500"
30,동부 왕국,,나인,없음,,없음,,,,없음,,,,없음,,,
32,동부 왕국,그늘숲,묘지,상위지역 경계 대체,10,돌가죽멧돼지 (524),"-9926.910, -371.035, 27.431","-9926.910, -361.035, 27.431","-9926.910, -381.035, 27.431",파멸의어둠일족 암흑길잡이 (205),"-10530.900, -786.683, 57.438","-10530.900, -776.683, 57.438","-10530.900, -796.683, 57.438",새끼 검은과부거미 (930),"-10751.200, -172.226, 40.478","-10751.200, -162.226, 40.478","-10751.200, -182.226, 40.478"
33,동부 왕국,,가시덤불 골짜기,지역 경계 직접,33,술취한 투사 (15724),"-14258.600, 327.030, 26.364","-14258.600, 337.030, 26.364","-14258.600, 317.030, 26.364",무법항 투사 (4624),"-14258.600, 327.030, 26.427","-14258.600, 337.030, 26.427","-14258.600, 317.030, 26.427",가시덤불 암호랑이 (772),"-12907.700, -407.618, 12.128","-12907.700, -397.618, 12.128","-12907.700, -417.618, 12.128"
34,동부 왕국,엘윈 숲,메아리 광산,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
35,동부 왕국,가시덤불 골짜기,무법항,상위지역 경계 대체,33,술취한 투사 (15724),"-14258.600, 327.030, 26.364","-14258.600, 337.030, 26.364","-14258.600, 317.030, 26.364",무법항 투사 (4624),"-14258.600, 327.030, 26.427","-14258.600, 337.030, 26.427","-14258.600, 317.030, 26.427",가시덤불 암호랑이 (772),"-12907.700, -407.618, 12.128","-12907.700, -397.618, 12.128","-12907.700, -417.618, 12.128"
36,동부 왕국,,알터랙 산맥,지역 경계 직접,36,무쇠턱거북 (2408),"838.392, -88.203, 35.664","838.392, -78.203, 35.664","838.392, -98.203, 35.664",썩은지느러미멀록 술사 (1909),"1175.480, 274.852, 27.072","1175.480, 284.852, 27.072","1175.480, 264.852, 27.072",산사태 오우거 (2252),"515.574, -620.737, 170.678","515.574, -610.737, 170.678","515.574, -630.737, 170.678"
37,동부 왕국,가시덤불 골짜기,나즈페리티 호수,상위지역 경계 대체,33,술취한 투사 (15724),"-14258.600, 327.030, 26.364","-14258.600, 337.030, 26.364","-14258.600, 317.030, 26.364",무법항 투사 (4624),"-14258.600, 327.030, 26.427","-14258.600, 337.030, 26.427","-14258.600, 317.030, 26.427",가시덤불 암호랑이 (772),"-12907.700, -407.618, 12.128","-12907.700, -397.618, 12.128","-12907.700, -417.618, 12.128"
38,동부 왕국,,모단 호수,지역 경계 직접,38,가루바위일족 점쟁이 (1166),"-5038.670, -3361.670, 298.385","-5038.670, -3351.670, 298.385","-5038.670, -3371.670, 298.385",동굴쥐일족 졸개 (1172),"-5030.430, -3014.490, 330.606","-5030.430, -3004.490, 330.606","-5030.430, -3024.490, 330.606",가루바위 트로그 (1161),"-5810.560, -2965.800, 365.715","-5810.560, -2955.800, 365.715","-5810.560, -2975.800, 365.715"
40,동부 왕국,,서부 몰락지대,지역 경계 직접,40,병든 늑대 (525),"-9707.640, 782.041, 31.745","-9707.640, 792.041, 31.745","-9707.640, 772.041, 31.745",뿔엄니멧돼지 (157),"-10627.600, 1326.260, 38.080","-10627.600, 1336.260, 38.080","-10627.600, 1316.260, 38.080",돌엄니멧돼지 (113),"-9929.220, 443.641, 34.594","-9929.220, 453.641, 34.594","-9929.220, 433.641, 34.594"
41,동부 왕국,,죽음의 고개,지역 경계 직접,41,네더가드 광부 (5996),"-10863.900, -3047.230, 48.497","-10863.900, -3037.230, 48.497","-10863.900, -3057.230, 48.497",늪지재규어 (767),"-10529.400, -2499.150, 22.331","-10529.400, -2489.150, 22.331","-10529.400, -2509.150, 22.331",파멸의어둠일족 암흑길잡이 (205),"-10542.100, -991.466, 52.687","-10542.100, -981.466, 52.687","-10542.100, -1001.466, 52.687"
42,동부 왕국,그늘숲,다크샤이어,상위지역 경계 대체,10,돌가죽멧돼지 (524),"-9926.910, -371.035, 27.431","-9926.910, -361.035, 27.431","-9926.910, -381.035, 27.431",파멸의어둠일족 암흑길잡이 (205),"-10530.900, -786.683, 57.438","-10530.900, -776.683, 57.438","-10530.900, -796.683, 57.438",새끼 검은과부거미 (930),"-10751.200, -172.226, 40.478","-10751.200, -162.226, 40.478","-10751.200, -182.226, 40.478"
43,동부 왕국,가시덤불 골짜기,거친 해안,상위지역 경계 대체,33,술취한 투사 (15724),"-14258.600, 327.030, 26.364","-14258.600, 337.030, 26.364","-14258.600, 317.030, 26.364",무법항 투사 (4624),"-14258.600, 327.030, 26.427","-14258.600, 337.030, 26.427","-14258.600, 317.030, 26.427",가시덤불 암호랑이 (772),"-12907.700, -407.618, 12.128","-12907.700, -397.618, 12.128","-12907.700, -417.618, 12.128"
44,동부 왕국,,붉은마루 산맥,지역 경계 직접,44,붉은마루일족 전사 (446),"-8980.150, -2337.880, 132.631","-8980.150, -2327.880, 132.631","-8980.150, -2347.880, 132.631",새끼 검은용 (441),"-9166.640, -2518.350, 110.678","-9166.640, -2508.350, 110.678","-9166.640, -2528.350, 110.678",검은바위부족 길잡이 (485),"-9138.150, -2556.150, 116.649","-9138.150, -2546.150, 116.649","-9138.150, -2566.150, 116.649"
45,동부 왕국,,아라시 고원,지역 경계 직접,45,줄무늬 고원랩터 (2559),"-1317.800, -2641.540, 64.874","-1317.800, -2631.540, 64.874","-1317.800, -2651.540, 64.874",평원타란툴라 (2563),"-1353.260, -2619.610, 73.142","-1353.260, -2609.610, 73.142","-1353.260, -2629.610, 73.142",외뿔 고원랩터 (2560),"-1516.830, -2813.330, 39.461","-1516.830, -2803.330, 39.461","-1516.830, -2823.330, 39.461"
46,동부 왕국,,불타는 평원,지역 경계 직접,46,채석장 노예 (8917),"-7433.470, -1049.260, 177.515","-7433.470, -1039.260, 177.515","-7433.470, -1059.260, 177.515",상급 바위 정령 (2736),"-7291.040, -2118.210, 297.682","-7291.040, -2108.210, 297.682","-7291.040, -2128.210, 297.682",불자루일족 오우거 (7033),"-7984.000, -2448.870, 131.915","-7984.000, -2438.870, 131.915","-7984.000, -2458.870, 131.915"
47,동부 왕국,,동부 내륙지,지역 경계 직접,47,무쇠턱 바다거북 (2505),"-286.143, -4448.270, 14.091","-286.143, -4438.270, 14.091","-286.143, -4458.270, 14.091",긴발톱 은빛갈기늑대 (2926),"206.152, -3585.180, 126.379","206.152, -3575.180, 126.379","206.152, -3595.180, 126.379",녹색 녹괴물 (2655),"145.146, -3473.670, 109.429","145.146, -3463.670, 109.429","145.146, -3483.670, 109.429"
51,동부 왕국,,이글거리는 협곡,지역 경계 직접,51,채석장 노예 (8917),"-7322.720, -1026.880, 181.021","-7322.720, -1016.880, 181.021","-7322.720, -1036.880, 181.021",검은무쇠단 감독관 (5846),"-6872.400, -1322.400, 243.141","-6872.400, -1312.400, 243.141","-6872.400, -1332.400, 243.141",상급 바위 정령 (2736),"-7194.270, -2102.410, 327.469","-7194.270, -2092.410, 327.469","-7194.270, -2112.410, 327.469"
53,동부 왕국,엘윈 숲,도둑 야영지,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
54,동부 왕국,엘윈 숲,석영 광산,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
55,동부 왕국,엘윈 숲,영웅의 계곡 미사용,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
56,동부 왕국,엘윈 숲,수호영웅의 안식처,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
57,동부 왕국,엘윈 숲,개미굴 광산,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
59,동부 왕국,엘윈 숲,노스샤이어 포도밭,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
60,동부 왕국,엘윈 숲,숲 가장자리,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
61,동부 왕국,엘윈 숲,천둥 폭포,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
62,동부 왕국,엘윈 숲,브랙웰 호박밭,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
63,동부 왕국,엘윈 숲,스톤필드 농장,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
64,동부 왕국,엘윈 숲,맥클루어 포도밭,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
65,노스렌드,,용의 안식처,지역 경계 직접,65,눈사태 숲 사슴 (26615),"3572.370, 1110.300, 148.846","3572.370, 1120.300, 148.846","3572.370, 1100.300, 148.846",굶주린 망자 (27290),"3528.940, -1069.420, 127.462","3528.940, -1059.420, 127.462","3528.940, -1079.420, 127.462",용뼈 대머리수리 (26483),"3567.510, 755.088, 98.581","3567.510, 765.088, 98.581","3567.510, 745.088, 98.581"
66,노스렌드,,줄드락,지역 경계 직접,66,되살아난 시체 (29897),"5745.640, -2214.740, 237.548","5745.640, -2204.740, 237.548","5745.640, -2224.740, 237.548",산악 야생마 (26472),"5084.860, -4386.400, 281.887","5084.860, -4376.400, 281.887","5084.860, -4396.400, 281.887",굶주린 스컬지 트롤 (26570),"4530.450, -2217.350, 169.775","4530.450, -2207.350, 169.775","4530.450, -2227.350, 169.775"
67,노스렌드,,폭풍우 봉우리,지역 경계 직접,67,썩은 구울 (31812),"7612.200, 1249.040, 347.691","7612.200, 1259.040, 347.691","7612.200, 1239.040, 347.691",되살아난 시체 (29897),"5876.930, -1956.730, 237.907","5876.930, -1946.730, 237.907","5876.930, -1966.730, 237.907",푸른용 알 (31836),"7530.150, 688.302, 475.453","7530.150, 698.302, 475.453","7530.150, 678.302, 475.453"
68,동부 왕국,붉은마루 산맥,영원의 호수,상위지역 경계 대체,44,붉은마루일족 전사 (446),"-8980.150, -2337.880, 132.631","-8980.150, -2327.880, 132.631","-8980.150, -2347.880, 132.631",새끼 검은용 (441),"-9166.640, -2518.350, 110.678","-9166.640, -2508.350, 110.678","-9166.640, -2528.350, 110.678",검은바위부족 길잡이 (485),"-9138.150, -2556.150, 116.649","-9138.150, -2546.150, 116.649","-9138.150, -2566.150, 116.649"
69,동부 왕국,붉은마루 산맥,레이크샤이어,상위지역 경계 대체,44,붉은마루일족 전사 (446),"-8980.150, -2337.880, 132.631","-8980.150, -2327.880, 132.631","-8980.150, -2347.880, 132.631",새끼 검은용 (441),"-9166.640, -2518.350, 110.678","-9166.640, -2508.350, 110.678","-9166.640, -2528.350, 110.678",검은바위부족 길잡이 (485),"-9138.150, -2556.150, 116.649","-9138.150, -2546.150, 116.649","-9138.150, -2566.150, 116.649"
70,동부 왕국,붉은마루 산맥,돌망루 요새,상위지역 경계 대체,44,붉은마루일족 전사 (446),"-8980.150, -2337.880, 132.631","-8980.150, -2327.880, 132.631","-8980.150, -2347.880, 132.631",새끼 검은용 (441),"-9166.640, -2518.350, 110.678","-9166.640, -2508.350, 110.678","-9166.640, -2528.350, 110.678",검은바위부족 길잡이 (485),"-9138.150, -2556.150, 116.649","-9138.150, -2546.150, 116.649","-9138.150, -2566.150, 116.649"
71,동부 왕국,붉은마루 산맥,돌망루 언덕,상위지역 경계 대체,44,붉은마루일족 전사 (446),"-8980.150, -2337.880, 132.631","-8980.150, -2327.880, 132.631","-8980.150, -2347.880, 132.631",새끼 검은용 (441),"-9166.640, -2518.350, 110.678","-9166.640, -2508.350, 110.678","-9166.640, -2528.350, 110.678",검은바위부족 길잡이 (485),"-9138.150, -2556.150, 116.649","-9138.150, -2546.150, 116.649","-9138.150, -2566.150, 116.649"
72,동부 왕국,저주받은 땅,어둠의 문,상위지역 경계 대체,4,네더가드 광부 (5996),"-10863.900, -3047.230, 48.497","-10863.900, -3037.230, 48.497","-10863.900, -3057.230, 48.497",네더가드 병사 (5999),"-11064.600, -3264.580, 54.306","-11064.600, -3254.580, 54.306","-11064.600, -3274.580, 54.306",정예 지옥군단병 (8717),"-11884.700, -2719.640, 3.814","-11884.700, -2709.640, 3.814","-11884.700, -2729.640, 3.814"
73,동부 왕국,저주받은 땅,타락의 흉터,상위지역 경계 대체,4,네더가드 광부 (5996),"-10863.900, -3047.230, 48.497","-10863.900, -3037.230, 48.497","-10863.900, -3057.230, 48.497",네더가드 병사 (5999),"-11064.600, -3264.580, 54.306","-11064.600, -3254.580, 54.306","-11064.600, -3274.580, 54.306",정예 지옥군단병 (8717),"-11884.700, -2719.640, 3.814","-11884.700, -2709.640, 3.814","-11884.700, -2729.640, 3.814"
74,동부 왕국,슬픔의 늪,눈물의 연못,상위지역 경계 대체,8,네더가드 광부 (5996),"-10499.000, -3328.550, -4.555","-10499.000, -3318.550, -4.555","-10499.000, -3338.550, -4.555",네더가드 병사 (5999),"-10874.300, -3284.880, 88.425","-10874.300, -3274.880, 88.425","-10874.300, -3294.880, 88.425",늪지멀록 먹물쟁이 (750),"-10865.800, -3642.490, 13.737","-10865.800, -3632.490, 13.737","-10865.800, -3652.490, 13.737"
75,동부 왕국,슬픔의 늪,스토나드,상위지역 경계 대체,8,네더가드 광부 (5996),"-10499.000, -3328.550, -4.555","-10499.000, -3318.550, -4.555","-10499.000, -3338.550, -4.555",네더가드 병사 (5999),"-10874.300, -3284.880, 88.425","-10874.300, -3274.880, 88.425","-10874.300, -3294.880, 88.425",늪지멀록 먹물쟁이 (750),"-10865.800, -3642.490, 13.737","-10865.800, -3632.490, 13.737","-10865.800, -3652.490, 13.737"
