model_id,model_path,display_count,display_ids,reflected,status_detail,mount_type,reason
900048,Creature\protodragon\korkronprotodrakemount.m2,2,"900074,900174",반영됨,910074:원시비룡 (코르크론); 930074:비전술사의 마나호랑이,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900026,Creature\protodragon\mdprotodrakemount.m2,2,"900026,900126",반영됨,910026:원시비룡; 930026:마력 깃든 요정용 (색상 2),날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900027,Creature\Quilin\QuilinFlyingMount.M2,2,"900027,900127",반영됨,910027:제국의 기렌; 930027:마력 깃든 요정용 (색상 3),날탈,모델명 QuilinFlyingMount
900029,Creature\RedDrakeMount\RedDrakeMount.M2,6,"900029,900075,900076,900129,900175,900176",반영됨,910029:붉은 비룡; 910075:붉은 비룡 (주황색); 910076:붉은 비룡 (보라색); 930029:일리다리 공포추적자; 930075:바다거북; 930076:티리엘의 군마,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900030,Creature\rocketmount3\rocketmount3.m2,2,"900030,900130",반영됨,910030:X-53 순회 로켓; 930030:일리다리 지옥추적자,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900031,Creature\rocketmount4\rocketmount4.m2,2,"900031,900131",반영됨,910031:X-53 순회 로켓; 930031:사나운 불꽃호랑이,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900033,Creature\scaleddrakemount\scaleddrakemount.m2,2,"900033,900133",반영됨,910033:비룡 계열; 930033:사나운 전투여우 (녹색),날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900038,Creature\stormcrowmount\stormcrowmount.m2,2,"900038,900138",반영됨,910038:보랏빛 마법날개; 930038:공식 탈것명 매칭,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900049,Creature\stormcrowmount_solar\stormcrowmount_arcane.m2,2,"900079,900179",반영됨,910079:태양 첨탑매 (비전); 930079:물꼬리의 고삐 (비취색),날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900039,Creature\stormcrowmount_solar\stormcrowmount_solar.m2,2,"900039,900139",반영됨,910039:태양 첨탑매; 930039:대마법사의 무지개원반 (비전),날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900042,Creature\TyraelMount\TyraelMount.M2,2,"900042,900142",반영됨,"910042:티리엘의 군마; 930042:반루, 대사부의 동무",날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900045,Creature\WingedLionMount\WingedLionMount.M2,4,"900045,900084,900145,900184",반영됨,910045:날개 달린 수호자; 910084:날개 달린 수호자 (스킨02); 930045:판다렌 불사조; 930084:날개 달린 수호자 (색상 2),날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900005,Creature\Crane\CraneMount.M2,2,"900005,900105",반영됨,910005:크레인의 고삐; 930005:사나운 전투사자 (은색),지상탈,모델명 CraneMount: 학 탈것 계열은 지상탈로 분류
900014,Creature\FoxMount\FoxMount.m2,2,"900014,900114",반영됨,910014:여우 탈것; 930014:크림슨 드래곤호크 (기본),지상탈,Wowhead WotLK 분류 및 지상 모델 계열명 기준
900016,Creature\HordeScorpionMount\HordeScorpionMount.M2,2,"900016,900116",반영됨,910016:사나운 전투전갈; 930016:크림슨 드래곤호크 (색상 2),지상탈,Wowhead WotLK 분류 및 지상 모델 계열명 기준
900021,Creature\monkmount\monkmount.m2,2,"900021,900121",반영됨,"910021:반루, 대사부의 동무; 930021:크림슨 드래곤호크 (색상 7)",지상탈,모델명 monkmount/Ban-Lu 계열
900022,Creature\moosemount2nightmare\moosemount2nightmare.m2,2,"900022,900122",반영됨,910022:에체로의 영혼; 930022:크림슨 드래곤호크 (선리버),지상탈,모델명 moosemount 계열
900023,Creature\MushanBeast\MushanBeastMount.M2,2,"900023,900123",반영됨,910023:잿가죽 무산야수; 930023:크림슨 드래곤호크 (얼라이언스 장갑형),지상탈,모델명 MushanBeast 계열
900028,Creature\ravenlord\ravenlordmount.m2,2,"900028,900128",반영됨,910028:까마귀 군주; 930028:일리다리 지옥추적자,지상탈,까마귀 군주 계열은 WotLK 기준 지상탈
900032,Creature\saber2\saber2mount.m2,2,"900032,900132",반영됨,910032:호랑이탈것; 930032:여우 탈것,지상탈,Saber 계열
900036,Creature\SiberianTiger\SiberianTigerMount.M2,2,"900036,900136",반영됨,910036:겨울빙호; 930036:사나운 전투여우 (붉은색),지상탈,Tiger 계열
900037,Creature\SkeletalRaptor\SkeletalRaptorMount.M2,2,"900037,900137",반영됨,910037:해골 랩터; 930037:사나운 전투전갈,지상탈,Raptor 계열
900040,Creature\suramarmount\suramarmount.m2,2,"900040,900140",반영됨,910040:비전술사의 마나호랑이; 930040:대마법사의 무지개원반 (화염),지상탈,Wowhead WotLK 분류 및 지상 모델 계열명 기준
900043,Creature\voidelfhawkstridermount\voidelfhawkstridermount.m2,2,"900043,900143",반영됨,910043:저주받은 공허타조; 930043:에체로의 영혼,지상탈,Wowhead WotLK 분류 및 지상 모델 계열명 기준
900034,Creature\Seahorse\SeahorseMount.M2,2,"900034,900134",반영됨,910034:순치된 해마; 930034:사나운 전투여우 (주황색),수중탈,Seahorse 계열
900041,Creature\turtlemount\turtlemount.m2,2,"900041,900141",반영됨,910041:바다거북; 930041:대마법사의 무지개원반 (냉기),수중/지상,Sea Turtle/Turtle 계열
900044,Creature\WaterStrider\WaterStriderMount.M2,10,"900044,900080,900081,900082,900083,900144,900180,900181,900182,900183",반영됨,910044:물꼬리의 고삐; 910080:물꼬리의 고삐 (비취색); 910081:물꼬리의 고삐 (주황색); 910082:물꼬리의 고삐 (붉은색); 910083:순치된 해마; 930044:잿가죽 무산야수 ...,수상/지상,Water Strider 계열
900002,Creature\AlliancePVPMount\AlliancePVPMount.M2,10,"900001,900002,900046,900047,900048,900101,900102,900146,900147,900148",반영됨,910001:황금왕의 고삐; 910002:사나운 전투사자; 910046:사나운 전투사자 (구리색); 910047:사나운 전투사자 (붉은색); 910048:사나운 전투u사자 (은색); 930001:황금왕의 고삐 ...,검토필요,탈것 키워드는 있으나 날탈/지상탈 확정 필요
900007,Creature\dragondeepholm\dragondeepholmmount.m2,8,"900007,900049,900050,900051,900107,900149,900150,900151",반영됨,910007:인광 돌 드레이크의 고삐; 910049:인광 돌 드레이크의 고삐 (주황색); 910050:인광 돌 드레이크의 고삐 (보라색); 910051:인광 돌 드레이크의 고삐 (붉은색); 930007:천공의 운룡; 930049:운룡 (검은색) ...,검토필요,탈것 키워드는 있으나 날탈/지상탈 확정 필요
900010,Creature\felhound3_fire_mount\felhound3_fire_mount.m2,2,"900010,900110",반영됨,910010:일리다리 지옥추적자; 930010:인광 돌 드레이크의 고삐 (푸른색),검토필요,탈것 키워드는 있으나 날탈/지상탈 확정 필요
900011,Creature\felhound3_shadow_mount\felhound3_shadow_mount.m2,2,"900011,900111",반영됨,910011:일리다리 공포추적자; 930011:인광 돌 드레이크의 고삐 (주황색),검토필요,탈것 키워드는 있으나 날탈/지상탈 확정 필요
900012,Creature\felstalkermount\felstalkermount.m2,2,"900012,900112",반영됨,910012:일리다리 지옥추적자; 930012:인광 돌 드레이크의 고삐 (보라색),검토필요,탈것 키워드는 있으나 날탈/지상탈 확정 필요
900013,Creature\FireCatMount\FireCatMount.m2,2,"900013,900113",반영됨,910013:사나운 불꽃호랑이; 930013:인광 돌 드레이크의 고삐 (붉은색),검토필요,탈것 키워드는 있으나 날탈/지상탈 확정 필요
900015,Creature\HordePVPMount\HordePVPMount.M2,8,"900015,900064,900065,900066,900115,900164,900165,900166",반영됨,910015:사나운 전투여우; 910064:사나운 전투여우 (주황색); 910065:사나운 전투u여우 (보라색); 910066:사나운 전투u여우 (붉은색); 930015:크림슨 드래곤호크 (색상 1); 930064:비룡 계열 ...,검토필요,탈것 키워드는 있으나 날탈/지상탈 확정 필요
900035,Creature\shadowstalkerpanthermount\shadowstalkerpanthermount.m2,6,"900035,900077,900078,900135,900177,900178",반영됨,910035:공허 수정 표범; 910077:공허 수정 표범 (보라색); 910078:순치된 해마; 930035:사나운 전투여우 (보라색); 930077:저주받은 공허타조; 930078:물꼬리의 고삐 (푸른색),검토필요,탈것 키워드는 있으나 날탈/지상탈 확정 필요
3025,Creature\alexstraszadragon\alexstraszadragon.mdx,1,27569,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
3358,Creature\CelestialHorse\CelestialHorse.mdx,1,31958,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
3357,Creature\CelestialHorse\CelestialHorse_NonFlying.mdx,1,31957,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2071,Creature\ChineseDragon\ChineseDragon.mdx,7,"14778,14779,24392,24393,24569,24620,29629",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2490,Creature\cosmicflyermount\CosmicRayNew.mdx,14,"19400,19401,19403,19404,19405,19406,19407,19416,19554,20098,20596,21282,23516,25457",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2551,Creature\cosmicflyermount\CosmicRayNew.mdx,7,"21152,21155,21156,21157,21158,21423,21444",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2584,Creature\cosmicflyermount\CosmicRayNew.mdx,1,21486,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
203,Creature\dragon2\dragon2fixed.mdx,43,"1686,1687,2717,2718,2719,2720,2930,7806,8574,9909,12869,13992,15413,15414,15474,15500,15946,17156,17256,19270 ...",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2739,Creature\dragon2\dragon2fixed.mdx,19,"24137,24139,24140,24141,24142,24173,24174,24175,24176,24190,24781,24782,25013,25710,27568,27570,27635,27811,28110",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2478,Creature\Dragon\Dragon.mdx,2,"19260,19371",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2489,Creature\Dragon\Dragon.mdx,2,"19373,22965",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2723,Creature\Dragon\Dragon.mdx,1,23746,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2931,Creature\Dragon\Dragon.mdx,1,26699,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
1651,Creature\Dragon\DragonAzurgoz.mdx,7,"11460,15473,22676,23704,23743,27340,29549",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2363,Creature\Dragonhawk2\Dragonhawk2.mdx,22,"17545,17546,17547,18920,19298,19299,19663,19669,19685,20026,20027,20029,20037,20263,21831,21901,22841,22860,23458,23515 ...",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2425,Creature\Dragonhawk2\Dragonhawk2.mdx,2,"19259,29362",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2669,Creature\Dragonhawk2\Dragonhawk2.mdx,1,22840,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
3045,CREATURE\Dragonhawk2\Dragonhawk2mount.mdx,7,"27525,28402,28417,29364,29674,29695,29696",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2593,Creature\DragonhawkGod\DragonHawkGod.mdx,1,21633,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2970,Creature\DragonRedCrystal\RedCrystalDragon.mdx,1,24307,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
3008,Creature\DragonRedCrystal\RedCrystalDragonHologram.mdx,1,27634,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
571,Creature\Drake2\Drake2.mdx,52,"5145,5645,6369,6370,6371,6372,6373,6374,6375,6376,6377,6378,6379,7553,7975,8317,8318,9231,9584,9585 ...",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2417,Creature\Drake2\Drake2.mdx,1,18164,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2710,Creature\Drake2\Drake2.mdx,1,23522,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2711,Creature\Drake2\Drake2.mdx,1,23524,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
9571,Creature\Drake2\drake2Azure.mdx,3,"24743,25256,28080",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
3019,Creature\Drake2\northrenddrake2old.mdx,5,"28457,28667,28686,28687,28828",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
1931,Creature\Drakeadon\Drakeadon.mdx,2,"14367,29539",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
3200,Creature\drakegrand2\drakemount2grandonyxia.mdx,1,30346,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2858,Creature\drakemount2\drakemount2.mdx,15,"24714,25803,25831,25832,25833,25834,25835,25836,25852,25853,25854,27796,27797,27798,31627",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
9858,Creature\drakemount2\drakemount2armored.mdx,1,27785,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
147,Creature\elitegryphon\elitegryphon.mdx,1,6852,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
792,Creature\elitegryphon\elitegryphon.mdx,7,"935,1147,1148,1149,7268,7269,7270",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2375,Creature\elitegryphon\elitegryphon.mdx,5,"17693,17694,17696,17697,25579",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2376,Creature\elitegryphon\elitegryphonarmored.mdx,9,"17698,17703,17717,17718,17759,24472,24688,27913,28652",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2443,Creature\elitegryphon\elitegryphonarmored.mdx,1,18736,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2758,Creature\elitegryphon\elitegryphonarmored.mdx,1,24665,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2767,Creature\elitegryphon\elitegryphonarmored.mdx,1,24784,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2771,Creature\elitegryphon\elitegryphonarmored.mdx,1,24869,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2844,Creature\elitegryphon\elitegryphonarmored.mdx,1,25679,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
85,Creature\elitewyvern\elitewyvern.mdx,1,6851,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
791,Creature\elitewyvern\elitewyvern.mdx,11,"295,2154,2155,2156,2157,2297,2298,4585,11011,11012,20964",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2377,Creature\elitewyvern\elitewyvern.mdx,4,"17699,17700,17701,24891",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2501,Creature\elitewyvern\elitewyvern.mdx,1,19608,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2374,Creature\elitewyvern\elitewyvernarmored.mdx,1,17675,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2378,Creature\elitewyvern\elitewyvernarmored.mdx,7,"17702,17719,17720,17721,17722,27721,27914",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2436,Creature\elitewyvern\elitewyvernarmored.mdx,1,18712,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2500,Creature\elitewyvern\elitewyvernarmored.mdx,1,19609,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2683,Creature\elitewyvern\elitewyvernarmored.mdx,1,23056,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2732,Creature\elitewyvern\elitewyvernarmored.mdx,2,"24044,24045",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
175,Creature\FaerieDragon\FaerieDragon.mdx,9,"1267,2158,6294,8471,9345,15404,15405,15991,19728",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
177,Creature\FaerieDragon\FaerieDragon_Ghost.mdx,1,19269,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2444,Creature\FelOrcNetherdrake\FelOrcNetherDrake.mdx,1,18812,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2445,Creature\FelOrcNetherdrake\FelOrcNetherDrakeMounted.mdx,3,"18813,18944,22409",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
3014,Creature\FlyingCarpetMount\FlyingCarpetMount.mdx,7,"28060,28061,28063,28064,28082,28117,31837",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2847,Creature\FrostwyrmPet\FrostWyrmPet.mdx,3,"25750,28456,30640",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2195,Creature\GnomeRocketCar\GnomeRocketCar.mdx,1,2490,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
1471,Creature\GoblinRocketCar\GoblinRocketCar.mdx,1,10318,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2326,Creature\Gryphon\Gryphon_Skeletal.mdx,2,"17166,17378",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2748,Creature\Gryphon\Gryphon_Skeletal.mdx,1,24446,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2889,Creature\Gryphon\Gryphon_Skeletal_Mount.mdx,3,"26303,26363,29842",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2890,Creature\Gryphon\Gryphon_Skeletal_Mount.mdx,1,26308,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
3024,Creature\Gryphon\Gryphon_Skeletal_Mount.mdx,1,28108,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
3046,CREATURE\GRYPHON\Gryphon_Skeletal_Mount.mdx,1,28421,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2365,Creature\gryphonghost_new\gryphonghost_new.mdx,1,17328,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2508,Creature\gryphonghost_new\gryphonghost_new.mdx,1,20065,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2509,Creature\gryphonghost_new\gryphonghost_new.mdx,1,20070,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2749,Creature\gryphonghost_new\gryphonghost_new.mdx,1,24447,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
2930,Creature\gryphonghost_new\gryphonghost_new.mdx,1,26691,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
3044,CREATURE\gryphonghost_new\gryphonghost_new.mdx,1,28400,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
3212,Creature\GryphonPet\GryphonPet.mdx,1,30412,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
90,Creature\Hippogryph2\Hippogryph.mdx,14,"479,3210,3211,3212,6756,6757,10889,10890,10891,10892,10893,10894,12589,22546",미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
209,Creature\Hippogryph2\Hippogryph.mdx,1,1936,미반영,patch-Z DBC에는 있으나 910/930 탑승 크리처에는 미연결,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
