지역ID,맵ID,맵,상위지역ID,상위지역,지역명,매칭상태,좌표기준지역ID,대상구분,GUID,Entry,대상이름,X,Y,Z
41,0,동부 왕국,0,,죽음의 고개,상위지역 좌표경계 대체,41,몬스터,3990,7376,하늘그늘독수리,-10714.1,-2035.89,121.86
42,0,동부 왕국,10,그늘숲,다크샤이어,상위지역 좌표경계 대체,10,몬스터,6045,1258,우두머리 검은약탈자늑대,-10806.4,-538.414,38.4045
43,0,동부 왕국,33,가시덤불 골짜기,거친 해안,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
44,0,동부 왕국,0,,붉은마루 산맥,상위지역 좌표경계 대체,44,몬스터,134181,14270,망둥이,-9333.75,-2594.88,22.3274
45,0,동부 왕국,0,,아라시 고원,상위지역 좌표경계 대체,45,몬스터,14531,2762,떠도는 천둥 정령,-1353.3,-2680.84,69.1467
46,0,동부 왕국,0,,불타는 평원,상위지역 좌표경계 대체,46,몬스터,5404,9700,용암게,-8018.15,-1774.78,130.105
47,0,동부 왕국,0,,동부 내륙지,상위지역 좌표경계 대체,47,몬스터,93154,2656,비취 수액괴물,155.866,-3503.29,125.227
51,0,동부 왕국,0,,이글거리는 협곡,상위지역 좌표경계 대체,51,몬스터,5731,5855,용암 정령,-6864.68,-1431.31,160.301
53,0,동부 왕국,12,엘윈 숲,도둑 야영지,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
54,0,동부 왕국,12,엘윈 숲,석영 광산,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
55,0,동부 왕국,12,엘윈 숲,영웅의 계곡 미사용,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
56,0,동부 왕국,12,엘윈 숲,수호영웅의 안식처,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
57,0,동부 왕국,12,엘윈 숲,개미굴 광산,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
59,0,동부 왕국,12,엘윈 숲,노스샤이어 포도밭,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
60,0,동부 왕국,12,엘윈 숲,숲 가장자리,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
61,0,동부 왕국,12,엘윈 숲,천둥 폭포,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
62,0,동부 왕국,12,엘윈 숲,브랙웰 호박밭,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
63,0,동부 왕국,12,엘윈 숲,스톤필드 농장,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
64,0,동부 왕국,12,엘윈 숲,맥클루어 포도밭,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
65,571,노스렌드,0,,용의 안식처,직접 zoneId,65,몬스터,502,26280,용의 안식처 마법사 사냥꾼,3373.64,2584.31,42.1588
66,571,노스렌드,0,,줄드락,상위지역 좌표경계 대체,66,몬스터,118621,28145,잠복꾼 바실리스크,5940.0,-2956.64,287.57
67,571,노스렌드,0,,폭풍우 봉우리,직접 zoneId,67,몬스터,39203,32491,잃어버린 시간의 원시비룡,6748.21,-1664.31,919.312
68,0,동부 왕국,44,붉은마루 산맥,영원의 호수,상위지역 좌표경계 대체,44,몬스터,134181,14270,망둥이,-9333.75,-2594.88,22.3274
69,0,동부 왕국,44,붉은마루 산맥,레이크샤이어,상위지역 좌표경계 대체,44,몬스터,134181,14270,망둥이,-9333.75,-2594.88,22.3274
70,0,동부 왕국,44,붉은마루 산맥,돌망루 요새,상위지역 좌표경계 대체,44,몬스터,134181,14270,망둥이,-9333.75,-2594.88,22.3274
71,0,동부 왕국,44,붉은마루 산맥,돌망루 언덕,상위지역 좌표경계 대체,44,몬스터,134181,14270,망둥이,-9333.75,-2594.88,22.3274
72,0,동부 왕국,4,저주받은 땅,어둠의 문,상위지역 좌표경계 대체,4,몬스터,134380,7846,파멸의 테레무스,-11685.9,-2955.42,7.736
73,0,동부 왕국,4,저주받은 땅,타락의 흉터,상위지역 좌표경계 대체,4,몬스터,134380,7846,파멸의 테레무스,-11685.9,-2955.42,7.736
74,0,동부 왕국,8,슬픔의 늪,눈물의 연못,상위지역 좌표경계 대체,8,몬스터,34153,865,스토나드 길잡이,-10383.4,-3373.6,22.8654
75,0,동부 왕국,8,슬픔의 늪,스토나드,상위지역 좌표경계 대체,8,몬스터,34153,865,스토나드 길잡이,-10383.4,-3373.6,22.8654
76,0,동부 왕국,8,슬픔의 늪,드레노어 성역,상위지역 좌표경계 대체,8,몬스터,34153,865,스토나드 길잡이,-10383.4,-3373.6,22.8654
77,0,동부 왕국,1,던 모로,앤빌마,상위지역 좌표경계 대체,1,몬스터,4094,1125,멧돼지,-5534.43,-632.649,407.758
80,0,동부 왕국,12,엘윈 숲,스톰윈드 산맥,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
85,0,동부 왕국,0,,티리스팔 숲,직접 zoneId,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
86,0,동부 왕국,12,엘윈 숲,돌무덤 호수,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
87,0,동부 왕국,12,엘윈 숲,골드샤이어,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
88,0,동부 왕국,12,엘윈 숲,동부 벌목지,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
89,0,동부 왕국,12,엘윈 숲,거울 호수 과수원,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
91,0,동부 왕국,12,엘윈 숲,아조라의 탑,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
92,0,동부 왕국,12,엘윈 숲,거울 호수,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
93,0,동부 왕국,10,그늘숲,벌골 오우거 소굴,상위지역 좌표경계 대체,10,몬스터,6045,1258,우두머리 검은약탈자늑대,-10806.4,-538.414,38.4045
94,0,동부 왕국,10,그늘숲,까마귀 언덕,상위지역 좌표경계 대체,10,몬스터,6045,1258,우두머리 검은약탈자늑대,-10806.4,-538.414,38.4045
95,0,동부 왕국,44,붉은마루 산맥,붉은마루 협곡,상위지역 좌표경계 대체,44,몬스터,134181,14270,망둥이,-9333.75,-2594.88,22.3274
96,0,동부 왕국,44,붉은마루 산맥,일갈라의 탑,상위지역 좌표경계 대체,44,몬스터,134181,14270,망둥이,-9333.75,-2594.88,22.3274
97,0,동부 왕국,44,붉은마루 산맥,앨더의 제재소,상위지역 좌표경계 대체,44,몬스터,134181,14270,망둥이,-9333.75,-2594.88,22.3274
98,0,동부 왕국,44,붉은마루 산맥,레스밴 동굴,상위지역 좌표경계 대체,44,몬스터,134181,14270,망둥이,-9333.75,-2594.88,22.3274
99,0,동부 왕국,33,가시덤불 골짜기,반란군 야영지,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
100,0,동부 왕국,33,가시덤불 골짜기,네싱워리 원정대,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
101,0,동부 왕국,33,가시덤불 골짜기,쿠르젠 주둔지,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
102,0,동부 왕국,33,가시덤불 골짜기,줄쿤다의 폐허,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
103,0,동부 왕국,33,가시덤불 골짜기,줄맘웨의 폐허,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
104,0,동부 왕국,33,가시덤불 골짜기,썩은내 산호초,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
105,0,동부 왕국,33,가시덤불 골짜기,모쉬오그 오우거 소굴,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
106,0,동부 왕국,33,가시덤불 골짜기,보급창,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
107,0,동부 왕국,40,서부 몰락지대,살딘 농장,상위지역 좌표경계 대체,40,몬스터,89789,1109,식인독수리,-10585.1,1310.83,39.6822
108,0,동부 왕국,40,서부 몰락지대,감시의 언덕,상위지역 좌표경계 대체,40,몬스터,89789,1109,식인독수리,-10585.1,1310.83,39.6822
109,0,동부 왕국,40,서부 몰락지대,펄브로우 호박밭,상위지역 좌표경계 대체,40,몬스터,89789,1109,식인독수리,-10585.1,1310.83,39.6822
111,0,동부 왕국,40,서부 몰락지대,장고로드 광산,상위지역 좌표경계 대체,40,몬스터,89789,1109,식인독수리,-10585.1,1310.83,39.6822
113,0,동부 왕국,40,서부 몰락지대,황금해안 채석장,상위지역 좌표경계 대체,40,몬스터,89789,1109,식인독수리,-10585.1,1310.83,39.6822
115,0,동부 왕국,40,서부 몰락지대,서부 몰락지대 등대,상위지역 좌표경계 대체,40,몬스터,89789,1109,식인독수리,-10585.1,1310.83,39.6822
116,0,동부 왕국,8,슬픔의 늪,안개 골짜기,상위지역 좌표경계 대체,8,몬스터,34153,865,스토나드 길잡이,-10383.4,-3373.6,22.8654
117,0,동부 왕국,33,가시덤불 골짜기,그롬골 주둔지,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
118,0,동부 왕국,11,저습지,웰가르의 발굴현장,상위지역 좌표경계 대체,11,몬스터,10768,1057,용아귀부족 해골감시자,-3553.23,-2448.85,51.7919
120,0,동부 왕국,12,엘윈 숲,서부 주둔지,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
121,0,동부 왕국,10,그늘숲,고요의 정원 묘지,상위지역 좌표경계 대체,10,몬스터,6045,1258,우두머리 검은약탈자늑대,-10806.4,-538.414,38.4045
122,0,동부 왕국,33,가시덤불 골짜기,줄다이아 폐허,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
123,0,동부 왕국,33,가시덤불 골짜기,발랄 폐허,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
125,0,동부 왕국,33,가시덤불 골짜기,칼아이 폐허,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
126,0,동부 왕국,33,가시덤불 골짜기,트카시 폐허,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
127,0,동부 왕국,33,가시덤불 골짜기,발리아마 폐허,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
128,0,동부 왕국,33,가시덤불 골짜기,지아타자이 폐허,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
129,0,동부 왕국,33,가시덤불 골짜기,미즈자 폐허,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
130,0,동부 왕국,0,,은빛소나무 숲,상위지역 좌표경계 대체,130,몬스터,19181,1769,달의분노일족 백발전사,328.962,1318.76,78.1197
131,0,동부 왕국,1,던 모로,카라노스,상위지역 좌표경계 대체,1,몬스터,4094,1125,멧돼지,-5534.43,-632.649,407.758
132,0,동부 왕국,1,던 모로,눈마루 골짜기,상위지역 좌표경계 대체,1,몬스터,4094,1125,멧돼지,-5534.43,-632.649,407.758
133,0,동부 왕국,1,던 모로,놈리건,상위지역 좌표경계 대체,1,몬스터,4094,1125,멧돼지,-5534.43,-632.649,407.758
134,0,동부 왕국,1,던 모로,골볼라 채석장,상위지역 좌표경계 대체,1,몬스터,4094,1125,멧돼지,-5534.43,-632.649,407.758
135,0,동부 왕국,1,던 모로,서리갈기 소굴,상위지역 좌표경계 대체,1,몬스터,4094,1125,멧돼지,-5534.43,-632.649,407.758
136,0,동부 왕국,1,던 모로,은빛 동굴,상위지역 좌표경계 대체,1,몬스터,4094,1125,멧돼지,-5534.43,-632.649,407.758
137,0,동부 왕국,1,던 모로,브루날 마을,상위지역 좌표경계 대체,1,몬스터,4094,1125,멧돼지,-5534.43,-632.649,407.758
138,0,동부 왕국,1,던 모로,안개소나무 은거처,상위지역 좌표경계 대체,1,몬스터,4094,1125,멧돼지,-5534.43,-632.649,407.758
139,0,동부 왕국,0,,동부 역병지대,상위지역 좌표경계 대체,139,몬스터,92307,8603,청소부구더기,2373.64,-4302.37,77.8021
141,1,칼림도어,0,,텔드랏실,직접 zoneId,141,몬스터,12596,7319,여왕거미 사스라,10979.6,1366.13,1328.87
142,0,동부 왕국,38,모단 호수,아이언밴드의 발굴현장,상위지역 좌표경계 대체,38,몬스터,8332,1224,새끼 트레샤돈,-5415.41,-3391.13,262.328
143,0,동부 왕국,38,모단 호수,모그로쉬 소굴,상위지역 좌표경계 대체,38,몬스터,8332,1224,새끼 트레샤돈,-5415.41,-3391.13,262.328
144,0,동부 왕국,38,모단 호수,텔사마,상위지역 좌표경계 대체,38,몬스터,8332,1224,새끼 트레샤돈,-5415.41,-3391.13,262.328
145,0,동부 왕국,38,모단 호수,알가즈 관문,상위지역 좌표경계 대체,38,몬스터,8332,1224,새끼 트레샤돈,-5415.41,-3391.13,262.328
146,0,동부 왕국,38,모단 호수,돌다지 댐,상위지역 좌표경계 대체,38,몬스터,8332,1224,새끼 트레샤돈,-5415.41,-3391.13,262.328
147,0,동부 왕국,38,모단 호수,순찰자의 오두막,상위지역 좌표경계 대체,38,몬스터,8332,1224,새끼 트레샤돈,-5415.41,-3391.13,262.328
148,1,칼림도어,0,,어둠의 해안,상위지역 좌표경계 대체,148,몬스터,38486,10160,사나운 달빛야수,6213.59,-155.208,79.3315
149,0,동부 왕국,38,모단 호수,은여울 광산,상위지역 좌표경계 대체,38,몬스터,8332,1224,새끼 트레샤돈,-5415.41,-3391.13,262.328
150,0,동부 왕국,11,저습지,메네실 항구,상위지역 좌표경계 대체,11,몬스터,10768,1057,용아귀부족 해골감시자,-3553.23,-2448.85,51.7919
152,0,동부 왕국,85,티리스팔 숲,보루,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
153,0,동부 왕국,85,티리스팔 숲,로데론의 폐허,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
154,0,동부 왕국,85,티리스팔 숲,데스넬,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
155,0,동부 왕국,85,티리스팔 숲,검은그물 거미굴,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
156,0,동부 왕국,85,티리스팔 숲,솔리덴 농장,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
157,0,동부 왕국,85,티리스팔 숲,아가만드 밀농장,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
158,0,동부 왕국,85,티리스팔 숲,아가만드가 납골당,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
159,0,동부 왕국,85,티리스팔 숲,브릴,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
160,0,동부 왕국,85,티리스팔 숲,속삭임의 정원,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
161,0,동부 왕국,85,티리스팔 숲,평온의 정원,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
162,0,동부 왕국,85,티리스팔 숲,청명 호수,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
163,0,동부 왕국,85,티리스팔 숲,군터의 은거지,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
164,0,동부 왕국,85,티리스팔 숲,가렌의 흉가,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
165,0,동부 왕국,85,티리스팔 숲,발니르 농장,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
166,0,동부 왕국,85,티리스팔 숲,버려진 장원,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
167,0,동부 왕국,85,티리스팔 숲,붉은십자군 전초기지,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
168,0,동부 왕국,85,티리스팔 숲,북부 해안,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
169,0,동부 왕국,85,티리스팔 숲,속삭임의 해안,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
170,0,동부 왕국,0,,로다미어 호수,좌표 없음,,,,,,,,
172,0,동부 왕국,130,은빛소나무 숲,펜리스 섬,상위지역 좌표경계 대체,130,몬스터,19181,1769,달의분노일족 백발전사,328.962,1318.76,78.1197
173,0,동부 왕국,85,티리스팔 숲,파올의 안식처,상위지역 zoneId 대체,85,몬스터,201194,10716,종탑 박쥐,2291.84,292.171,81.5713
186,1,칼림도어,141,텔드랏실,돌라나르,상위지역 zoneId 대체,141,몬스터,12596,7319,여왕거미 사스라,10979.6,1366.13,1328.87
187,1,칼림도어,141,텔드랏실,다르나서스 미사용,상위지역 zoneId 대체,141,몬스터,12596,7319,여왕거미 사스라,10979.6,1366.13,1328.87
188,1,칼림도어,141,텔드랏실,그늘 협곡,상위지역 zoneId 대체,141,몬스터,12596,7319,여왕거미 사스라,10979.6,1366.13,1328.87
189,0,동부 왕국,1,던 모로,스틸그릴의 정비소,상위지역 좌표경계 대체,1,몬스터,4094,1125,멧돼지,-5534.43,-632.649,407.758
190,0,동부 왕국,28,서부 역병지대,하스글렌,상위지역 좌표경계 대체,28,몬스터,48260,4076,바퀴벌레,1930.58,-1714.77,61.6941
192,0,동부 왕국,28,서부 역병지대,북마루 벌목지,상위지역 좌표경계 대체,28,몬스터,48260,4076,바퀴벌레,1930.58,-1714.77,61.6941
193,0,동부 왕국,28,서부 역병지대,안돌할 폐허,상위지역 좌표경계 대체,28,몬스터,48260,4076,바퀴벌레,1930.58,-1714.77,61.6941
195,0,동부 왕국,28,서부 역병지대,강령술 학교,상위지역 좌표경계 대체,28,몬스터,48260,4076,바퀴벌레,1930.58,-1714.77,61.6941
196,0,동부 왕국,28,서부 역병지대,우서 경의 무덤,상위지역 좌표경계 대체,28,몬스터,48260,4076,바퀴벌레,1930.58,-1714.77,61.6941
197,0,동부 왕국,28,서부 역병지대,슬픔의 언덕,상위지역 좌표경계 대체,28,몬스터,48260,4076,바퀴벌레,1930.58,-1714.77,61.6941
198,0,동부 왕국,28,서부 역병지대,진흙탕 동굴,상위지역 좌표경계 대체,28,몬스터,48260,4076,바퀴벌레,1930.58,-1714.77,61.6941
199,0,동부 왕국,28,서부 역병지대,펠스톤 농장,상위지역 좌표경계 대체,28,몬스터,48260,4076,바퀴벌레,1930.58,-1714.77,61.6941
200,0,동부 왕국,28,서부 역병지대,달슨의 눈물,상위지역 좌표경계 대체,28,몬스터,48260,4076,바퀴벌레,1930.58,-1714.77,61.6941
201,0,동부 왕국,28,서부 역병지대,가론의 흉가,상위지역 좌표경계 대체,28,몬스터,48260,4076,바퀴벌레,1930.58,-1714.77,61.6941
202,0,동부 왕국,28,서부 역병지대,고통의 흉가,상위지역 좌표경계 대체,28,몬스터,48260,4076,바퀴벌레,1930.58,-1714.77,61.6941
203,0,동부 왕국,28,서부 역병지대,마르덴홀드 요새,상위지역 좌표경계 대체,28,몬스터,48260,4076,바퀴벌레,1930.58,-1714.77,61.6941
204,0,동부 왕국,130,은빛소나무 숲,장작나무 마을,상위지역 좌표경계 대체,130,몬스터,19181,1769,달의분노일족 백발전사,328.962,1318.76,78.1197
205,0,동부 왕국,11,저습지,던 모드르,상위지역 좌표경계 대체,11,몬스터,10768,1057,용아귀부족 해골감시자,-3553.23,-2448.85,51.7919
210,571,노스렌드,0,,얼음왕관,직접 zoneId,210,몬스터,140200,31159,밸로크,6408.76,1725.81,508.601
211,0,동부 왕국,1,던 모로,얼음 호수,상위지역 좌표경계 대체,1,몬스터,4094,1125,멧돼지,-5534.43,-632.649,407.758
212,0,동부 왕국,1,던 모로,투구바닥 호수,상위지역 좌표경계 대체,1,몬스터,4094,1125,멧돼지,-5534.43,-632.649,407.758
213,0,동부 왕국,130,은빛소나무 숲,심원 광산,상위지역 좌표경계 대체,130,몬스터,19181,1769,달의분노일족 백발전사,328.962,1318.76,78.1197
214,0,동부 왕국,0,,대해,좌표 없음,,,,,,,,
215,1,칼림도어,0,,멀고어,상위지역 좌표경계 대체,215,몬스터,25557,2959,긴발톱 초원늑대,-1950.9,-482.575,-7.77616
219,0,동부 왕국,40,서부 몰락지대,알렉스턴 농장,상위지역 좌표경계 대체,40,몬스터,89789,1109,식인독수리,-10585.1,1310.83,39.6822
220,1,칼림도어,215,멀고어,붉은구름 고원,상위지역 좌표경계 대체,215,몬스터,25557,2959,긴발톱 초원늑대,-1950.9,-482.575,-7.77616
221,1,칼림도어,215,멀고어,나라체 야영지,상위지역 좌표경계 대체,215,몬스터,25557,2959,긴발톱 초원늑대,-1950.9,-482.575,-7.77616
222,1,칼림도어,215,멀고어,블러드후프 마을,상위지역 좌표경계 대체,215,몬스터,25557,2959,긴발톱 초원늑대,-1950.9,-482.575,-7.77616
223,1,칼림도어,215,멀고어,황소바위 호수,상위지역 좌표경계 대체,215,몬스터,25557,2959,긴발톱 초원늑대,-1950.9,-482.575,-7.77616
224,1,칼림도어,215,멀고어,습격당한 짐마차 행렬,상위지역 좌표경계 대체,215,몬스터,25557,2959,긴발톱 초원늑대,-1950.9,-482.575,-7.77616
225,1,칼림도어,215,멀고어,붉은 바위 언덕,상위지역 좌표경계 대체,215,몬스터,25557,2959,긴발톱 초원늑대,-1950.9,-482.575,-7.77616
226,0,동부 왕국,130,은빛소나무 숲,암흑 땅거미굴,상위지역 좌표경계 대체,130,몬스터,19181,1769,달의분노일족 백발전사,328.962,1318.76,78.1197
